ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value,month_day,Unnamed: 0,date,text,news_sentiment
MSFT,Microsoft,2019-01-01,101.57,33161320,101.29,102.4,100.44,01-01,0.0,0,0,0.0
MSFT,Microsoft,2019-01-02,101.12,35145360,99.55,101.75,98.94,01-02,1246.0,2020-01-02 00:00:00,emerging detail suggest former nissan renault chairman owes arrival lebanon escape plan grand scale carlos ghosn flee japan,1.0
MSFT,Microsoft,2019-01-03,97.4,42111650,100.1,100.185,97.2,01-03,0.0,0,0,0.0
MSFT,Microsoft,2019-01-04,101.93,43982700,99.72,102.51,98.93,01-04,0.0,0,0,0.0
MSFT,Microsoft,2019-01-05,101.93,43982700,99.72,102.51,98.93,01-05,0.0,0,0,0.0
MSFT,Microsoft,2019-01-06,101.93,43982700,99.72,102.51,98.93,01-06,0.0,0,0,0.0
MSFT,Microsoft,2019-01-07,102.06,35567820,101.64,103.2681,100.98,01-07,1247.0,2020-01-07 00:00:00,maker home speaker said google amazon stole technology abused power could risk suing one sonos squeezed tech giant sue google,0.0
MSFT,Microsoft,2019-01-07,102.06,35567820,101.64,103.2681,100.98,01-07,1238.0,2020-01-07 00:00:00,company said would remove video altered artificial intelligence way meant mislead viewer facebook say ban ‘deepfakes’,-1.0
MSFT,Microsoft,2019-01-08,102.8,31322920,103.04,103.97,101.7134,01-08,1229.0,2020-01-08 00:00:00,stock rallied oil fell became clear iran united state backing away confrontation stock rally iran worry ease corporate outlook brightens,1.0
MSFT,Microsoft,2019-01-09,104.27,32261890,103.86,104.88,103.2445,01-09,1230.0,2020-01-09 00:00:00,sp added nearly percent rally thanks combination low interest rate receding economic risk u stock sweet spot hit record,1.0
MSFT,Microsoft,2019-01-10,103.6,29978930,103.22,103.75,102.38,01-10,1241.0,2020-01-10 00:00:00,university investigated history mr epstein joichi ito face prominent medium lab program acknowledged receiving money convicted sex offender jeffrey epstein gave mit administrator knew,1.0
MSFT,Microsoft,2019-01-11,102.8,28235260,103.19,103.44,101.64,01-11,0.0,0,0,0.0
MSFT,Microsoft,2019-01-12,102.8,28235260,103.19,103.44,101.64,01-12,0.0,0,0,0.0
MSFT,Microsoft,2019-01-13,102.8,28235260,103.19,103.44,101.64,01-13,1242.0,2020-01-13 00:00:00,people think phil hogan’s blunt style advantage dealing trump white house making first official trip washington week new eu trade chief quest fix relation u,1.0
MSFT,Microsoft,2019-01-14,102.05,27194560,101.9,102.8716,101.26,01-14,0.0,0,0,0.0
MSFT,Microsoft,2019-01-15,105.01,31537490,102.51,105.05,101.88,01-15,1243.0,2020-01-15 00:00:00,subscription service like netflix google drive convenient lose control content data here’s take back we’re living subscription world here’s navigate,0.0
MSFT,Microsoft,2019-01-16,105.38,29655860,105.26,106.255,104.96,01-16,1223.0,2020-01-16 00:00:00,sp nasdaq russell record territory stock continue record climb earnings overshadow impeachment,0.0
MSFT,Microsoft,2019-01-16,105.38,29655860,105.26,106.255,104.96,01-16,1225.0,2020-01-16 00:00:00,internet search giant became fourth tech company — apple amazon microsoft — reach market milestone google reach trillion value even face new test,1.0
MSFT,Microsoft,2019-01-17,106.12,27151570,105.0,106.625,104.76,01-17,1226.0,2020-01-17 00:00:00,homerental company plan consider need investor corporate governance — factor employee pay airbnb imago ‘stakeholder’ world,0.0
MSFT,Microsoft,2019-01-17,106.12,27151570,105.0,106.625,104.76,01-17,1236.0,2020-01-17 00:00:00,two new book examine digital technology transforming business economy look resulting ethical regulatory concern review competing digital age,1.0
