ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value
TSLA,Tesla Inc,2019-01-01,332.8,6294298,337.79,339.21,325.26
TSLA,Tesla Inc,2019-01-02,310.12,11611270,306.1,315.13,298.8
TSLA,Tesla Inc,2019-01-03,300.36,6948577,307.0,309.4,297.38
TSLA,Tesla Inc,2019-01-04,317.69,7382755,306.0,318.0,302.73
TSLA,Tesla Inc,2019-01-05,317.69,7382755,306.0,318.0,302.73
TSLA,Tesla Inc,2019-01-06,317.69,7382755,306.0,318.0,302.73
TSLA,Tesla Inc,2019-01-07,334.96,7542338,321.72,336.74,317.7508
TSLA,Tesla Inc,2019-01-08,335.35,6994427,341.96,344.01,327.02
TSLA,Tesla Inc,2019-01-09,338.53,5426618,335.5,343.5025,331.47
TSLA,Tesla Inc,2019-01-10,344.97,6049621,334.4,345.39,331.79
TSLA,Tesla Inc,2019-01-11,347.26,5035078,342.09,348.41,338.77
TSLA,Tesla Inc,2019-01-12,347.26,5035078,342.09,348.41,338.77
TSLA,Tesla Inc,2019-01-13,347.26,5035078,342.09,348.41,338.77
TSLA,Tesla Inc,2019-01-14,334.4,5232690,342.38,342.5,334.0
TSLA,Tesla Inc,2019-01-15,344.43,6047890,335.0,348.8,334.5
TSLA,Tesla Inc,2019-01-16,346.05,4677227,344.78,352.0,343.5
TSLA,Tesla Inc,2019-01-17,347.31,3661162,346.21,351.5,344.15
TSLA,Tesla Inc,2019-01-18,302.26,24079260,323.0,327.1297,299.7301
TSLA,Tesla Inc,2019-01-19,302.26,24079260,323.0,327.1297,299.7301
TSLA,Tesla Inc,2019-01-20,302.26,24079260,323.0,327.1297,299.7301
TSLA,Tesla Inc,2019-01-21,302.26,24079260,323.0,327.1297,299.7301
TSLA,Tesla Inc,2019-01-22,298.92,12052130,304.82,308.0,295.5
TSLA,Tesla Inc,2019-01-23,287.59,12513080,292.5,294.5,281.69
TSLA,Tesla Inc,2019-01-24,291.51,7990911,283.03,293.68,279.2831
TSLA,Tesla Inc,2019-01-25,297.04,7102781,294.39,298.5195,289.55
TSLA,Tesla Inc,2019-01-26,297.04,7102781,294.39,298.5195,289.55
TSLA,Tesla Inc,2019-01-27,297.04,7102781,294.39,298.5195,289.55
TSLA,Tesla Inc,2019-01-28,296.38,6409477,292.91,297.46,287.75
TSLA,Tesla Inc,2019-01-29,297.46,4602933,295.27,298.5566,291.8
TSLA,Tesla Inc,2019-01-30,308.77,10594040,300.45,309.0,298.49
TSLA,Tesla Inc,2019-01-31,307.02,12545190,301.0,311.5636,294.0
TSLA,Tesla Inc,2019-02-01,312.21,7263618,305.42,316.1,303.5
TSLA,Tesla Inc,2019-02-02,312.21,7263618,305.42,316.1,303.5
TSLA,Tesla Inc,2019-02-03,312.21,7263618,305.42,316.1,303.5
