ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value
MSFT,Microsoft,2019-01-01,101.57,33161320,101.29,102.4,100.44
MSFT,Microsoft,2019-01-02,101.12,35145360,99.55,101.75,98.94
MSFT,Microsoft,2019-01-03,97.4,42111650,100.1,100.185,97.2
MSFT,Microsoft,2019-01-04,101.93,43982700,99.72,102.51,98.93
MSFT,Microsoft,2019-01-05,101.93,43982700,99.72,102.51,98.93
MSFT,Microsoft,2019-01-06,101.93,43982700,99.72,102.51,98.93
MSFT,Microsoft,2019-01-07,102.06,35567820,101.64,103.2681,100.98
MSFT,Microsoft,2019-01-08,102.8,31322920,103.04,103.97,101.7134
MSFT,Microsoft,2019-01-09,104.27,32261890,103.86,104.88,103.2445
MSFT,Microsoft,2019-01-10,103.6,29978930,103.22,103.75,102.38
MSFT,Microsoft,2019-01-11,102.8,28235260,103.19,103.44,101.64
MSFT,Microsoft,2019-01-12,102.8,28235260,103.19,103.44,101.64
MSFT,Microsoft,2019-01-13,102.8,28235260,103.19,103.44,101.64
MSFT,Microsoft,2019-01-14,102.05,27194560,101.9,102.8716,101.26
MSFT,Microsoft,2019-01-15,105.01,31537490,102.51,105.05,101.88
MSFT,Microsoft,2019-01-16,105.38,29655860,105.26,106.255,104.96
MSFT,Microsoft,2019-01-17,106.12,27151570,105.0,106.625,104.76
MSFT,Microsoft,2019-01-18,107.71,37299850,107.46,107.9,105.91
MSFT,Microsoft,2019-01-19,107.71,37299850,107.46,107.9,105.91
MSFT,Microsoft,2019-01-20,107.71,37299850,107.46,107.9,105.91
MSFT,Microsoft,2019-01-21,107.71,37299850,107.46,107.9,105.91
MSFT,Microsoft,2019-01-22,105.68,32092050,106.75,107.1,104.86
MSFT,Microsoft,2019-01-23,106.71,25512110,106.12,107.04,105.34
MSFT,Microsoft,2019-01-24,106.2,23125910,106.86,107.0,105.34
MSFT,Microsoft,2019-01-25,107.17,31182240,107.24,107.88,106.59
MSFT,Microsoft,2019-01-26,107.17,31182240,107.24,107.88,106.59
MSFT,Microsoft,2019-01-27,107.17,31182240,107.24,107.88,106.59
MSFT,Microsoft,2019-01-28,105.08,29402020,106.26,106.48,104.66
MSFT,Microsoft,2019-01-29,102.94,31262200,104.88,104.97,102.17
MSFT,Microsoft,2019-01-30,106.38,47203190,104.62,106.38,104.33
MSFT,Microsoft,2019-01-31,104.43,55442870,103.8,105.22,103.18
MSFT,Microsoft,2019-02-01,102.78,35243730,103.775,104.0999,102.35
MSFT,Microsoft,2019-02-02,102.78,35243730,103.775,104.0999,102.35
MSFT,Microsoft,2019-02-03,102.78,35243730,103.775,104.0999,102.35
MSFT,Microsoft,2019-02-04,105.74,31216260,102.87,105.8,102.77
MSFT,Microsoft,2019-02-05,107.22,27270810,106.06,107.27,105.96
MSFT,Microsoft,2019-02-06,106.03,20577980,107.0,107.0,105.53
MSFT,Microsoft,2019-02-07,105.27,29735930,105.185,105.59,104.29
MSFT,Microsoft,2019-02-08,105.67,21453990,104.39,105.78,104.2603
MSFT,Microsoft,2019-02-09,105.67,21453990,104.39,105.78,104.2603
MSFT,Microsoft,2019-02-10,105.67,21453990,104.39,105.78,104.2603
MSFT,Microsoft,2019-02-11,105.25,18753750,106.2,106.58,104.965
MSFT,Microsoft,2019-02-12,106.89,25018670,106.14,107.14,105.48
MSFT,Microsoft,2019-02-13,106.81,18337830,107.5,107.78,106.71
MSFT,Microsoft,2019-02-14,106.9,21745770,106.31,107.29,105.66
MSFT,Microsoft,2019-02-15,108.22,26589160,107.91,108.3,107.3624
MSFT,Microsoft,2019-02-16,108.22,26589160,107.91,108.3,107.3624
MSFT,Microsoft,2019-02-17,108.22,26589160,107.91,108.3,107.3624
MSFT,Microsoft,2019-02-18,108.22,26589160,107.91,108.3,107.3624
MSFT,Microsoft,2019-02-19,108.17,17982860,107.79,108.66,107.78
MSFT,Microsoft,2019-02-20,107.15,21603580,107.86,107.94,106.29
MSFT,Microsoft,2019-02-21,109.41,28856200,106.9,109.48,106.87
MSFT,Microsoft,2019-02-22,110.97,27746840,110.05,111.2,109.82
MSFT,Microsoft,2019-02-23,110.97,27746840,110.05,111.2,109.82
MSFT,Microsoft,2019-02-24,110.97,27746840,110.05,111.2,109.82
MSFT,Microsoft,2019-02-25,111.59,23723500,111.76,112.18,111.26
MSFT,Microsoft,2019-02-26,112.36,21513210,111.26,113.24,111.17
MSFT,Microsoft,2019-02-27,112.17,21471170,111.69,112.36,110.88
MSFT,Microsoft,2019-02-28,112.03,28948570,112.04,112.88,111.73
MSFT,Microsoft,2019-03-01,112.53,20821260,112.89,113.02,111.665
MSFT,Microsoft,2019-03-02,112.53,20821260,112.89,113.02,111.665
MSFT,Microsoft,2019-03-03,112.53,20821260,112.89,113.02,111.665
MSFT,Microsoft,2019-03-04,112.26,25869380,113.02,113.25,110.8
MSFT,Microsoft,2019-03-05,111.7,19090780,112.25,112.39,111.23
MSFT,Microsoft,2019-03-06,111.75,17651130,111.87,112.66,111.43
MSFT,Microsoft,2019-03-07,110.39,25320540,111.4,111.55,109.865
MSFT,Microsoft,2019-03-08,110.51,22803110,109.16,110.71,108.8
MSFT,Microsoft,2019-03-09,110.51,22803110,109.16,110.71,108.8
MSFT,Microsoft,2019-03-10,110.51,22803110,109.16,110.71,108.8
MSFT,Microsoft,2019-03-11,112.83,24525610,110.99,112.95,110.98
MSFT,Microsoft,2019-03-12,113.62,26103480,112.82,113.99,112.6499
MSFT,Microsoft,2019-03-13,114.5,35311160,114.13,115.0,113.78
MSFT,Microsoft,2019-03-14,114.59,30414810,114.54,115.2,114.33
MSFT,Microsoft,2019-03-15,115.91,54025470,115.34,117.25,114.59
MSFT,Microsoft,2019-03-16,115.91,54025470,115.34,117.25,114.59
MSFT,Microsoft,2019-03-17,115.91,54025470,115.34,117.25,114.59
MSFT,Microsoft,2019-03-18,117.57,31098780,116.17,117.61,116.05
MSFT,Microsoft,2019-03-19,117.65,35304130,118.09,118.44,116.99
MSFT,Microsoft,2019-03-20,117.52,26110540,117.39,118.75,116.71
MSFT,Microsoft,2019-03-21,120.22,29747140,117.135,120.82,117.09
MSFT,Microsoft,2019-03-22,117.05,32346990,119.5,119.59,117.04
MSFT,Microsoft,2019-03-23,117.05,32346990,119.5,119.59,117.04
MSFT,Microsoft,2019-03-24,117.05,32346990,119.5,119.59,117.04
MSFT,Microsoft,2019-03-25,117.66,26641480,116.56,118.01,116.3224
MSFT,Microsoft,2019-03-26,117.91,25986230,118.62,118.705,116.85
MSFT,Microsoft,2019-03-27,116.77,22669440,117.875,118.21,115.5215
MSFT,Microsoft,2019-03-28,116.93,17527550,117.44,117.58,116.13
MSFT,Microsoft,2019-03-29,117.94,25375220,118.07,118.32,116.96
MSFT,Microsoft,2019-03-30,117.94,25375220,118.07,118.32,116.96
MSFT,Microsoft,2019-03-31,117.94,25375220,118.07,118.32,116.96
MSFT,Microsoft,2019-04-01,119.02,19885780,118.95,119.1085,118.1
MSFT,Microsoft,2019-04-02,119.19,16413430,119.06,119.48,118.52
MSFT,Microsoft,2019-04-03,119.97,22354020,119.86,120.43,119.15
MSFT,Microsoft,2019-04-04,119.36,20090610,120.1,120.23,118.38
MSFT,Microsoft,2019-04-05,119.89,15737990,119.39,120.23,119.37
MSFT,Microsoft,2019-04-06,119.89,15737990,119.39,120.23,119.37
MSFT,Microsoft,2019-04-07,119.89,15737990,119.39,120.23,119.37
MSFT,Microsoft,2019-04-08,119.93,15113170,119.81,120.02,118.64
MSFT,Microsoft,2019-04-09,119.28,17275470,118.63,119.54,118.58
MSFT,Microsoft,2019-04-10,120.19,14540330,119.76,120.35,119.54
MSFT,Microsoft,2019-04-11,120.33,13758010,120.54,120.85,119.92
MSFT,Microsoft,2019-04-12,120.95,19719730,120.64,120.98,120.37
MSFT,Microsoft,2019-04-13,120.95,19719730,120.64,120.98,120.37
MSFT,Microsoft,2019-04-14,120.95,19719730,120.64,120.98,120.37
MSFT,Microsoft,2019-04-15,121.05,15526260,120.94,121.58,120.57
MSFT,Microsoft,2019-04-16,120.77,14054870,121.64,121.65,120.1
MSFT,Microsoft,2019-04-17,121.77,19012080,121.24,121.85,120.54
MSFT,Microsoft,2019-04-18,123.37,27651970,122.19,123.52,121.3018
MSFT,Microsoft,2019-04-19,123.37,27651970,122.19,123.52,121.3018
MSFT,Microsoft,2019-04-20,123.37,27651970,122.19,123.52,121.3018
MSFT,Microsoft,2019-04-21,123.37,27651970,122.19,123.52,121.3018
MSFT,Microsoft,2019-04-22,123.76,14825150,122.62,124.0,122.57
MSFT,Microsoft,2019-04-23,125.44,23539620,124.1,125.58,123.83
MSFT,Microsoft,2019-04-24,125.01,29919920,125.79,125.85,124.52
MSFT,Microsoft,2019-04-25,129.15,37927120,130.06,131.37,128.83
MSFT,Microsoft,2019-04-26,129.89,23306180,129.7,130.5152,129.02
MSFT,Microsoft,2019-04-27,129.89,23306180,129.7,130.5152,129.02
MSFT,Microsoft,2019-04-28,129.89,23306180,129.7,130.5152,129.02
MSFT,Microsoft,2019-04-29,129.77,16179580,129.9,130.18,129.35
MSFT,Microsoft,2019-04-30,130.6,24041490,129.81,130.7,129.3947
MSFT,Microsoft,2019-05-01,127.88,26821690,130.53,130.65,127.7
MSFT,Microsoft,2019-05-02,126.21,27350160,127.98,128.0,125.52
MSFT,Microsoft,2019-05-03,128.9,24911130,127.36,129.43,127.25
MSFT,Microsoft,2019-05-04,128.9,24911130,127.36,129.43,127.25
MSFT,Microsoft,2019-05-05,128.9,24911130,127.36,129.43,127.25
MSFT,Microsoft,2019-05-06,128.15,24239460,126.39,128.56,126.11
MSFT,Microsoft,2019-05-07,125.52,36017660,126.46,127.18,124.22
MSFT,Microsoft,2019-05-08,125.51,28419000,125.44,126.37,124.75
MSFT,Microsoft,2019-05-09,125.5,27235840,124.29,125.79,123.57
MSFT,Microsoft,2019-05-10,127.13,30915080,124.91,127.93,123.82
MSFT,Microsoft,2019-05-11,127.13,30915080,124.91,127.93,123.82
MSFT,Microsoft,2019-05-12,127.13,30915080,124.91,127.93,123.82
MSFT,Microsoft,2019-05-13,123.35,33944920,124.11,125.55,123.04
MSFT,Microsoft,2019-05-14,124.73,25266320,123.87,125.88,123.7
MSFT,Microsoft,2019-05-15,126.02,24722710,124.26,126.71,123.7
MSFT,Microsoft,2019-05-16,128.93,30112220,126.75,129.38,126.46
MSFT,Microsoft,2019-05-17,128.07,25770540,128.305,130.46,127.92
MSFT,Microsoft,2019-05-18,128.07,25770540,128.305,130.46,127.92
MSFT,Microsoft,2019-05-19,128.07,25770540,128.305,130.46,127.92
MSFT,Microsoft,2019-05-20,126.22,23706930,126.52,127.5894,125.7607
MSFT,Microsoft,2019-05-21,126.9,15293260,127.43,127.5273,126.58
MSFT,Microsoft,2019-05-22,127.67,15396490,126.62,128.24,126.52
MSFT,Microsoft,2019-05-23,126.18,23603810,126.2,126.29,124.74
MSFT,Microsoft,2019-05-24,126.24,14123360,126.91,127.415,125.97
MSFT,Microsoft,2019-05-25,126.24,14123360,126.91,127.415,125.97
MSFT,Microsoft,2019-05-26,126.24,14123360,126.91,127.415,125.97
MSFT,Microsoft,2019-05-27,126.24,14123360,126.91,127.415,125.97
MSFT,Microsoft,2019-05-28,126.16,23128360,126.98,128.0,126.05
MSFT,Microsoft,2019-05-29,124.94,22763140,125.38,125.39,124.04
MSFT,Microsoft,2019-05-30,125.73,16829610,125.26,125.76,124.78
MSFT,Microsoft,2019-05-31,123.68,26646770,124.23,124.615,123.32
MSFT,Microsoft,2019-06-01,123.68,26646770,124.23,124.615,123.32
MSFT,Microsoft,2019-06-02,123.68,26646770,124.23,124.615,123.32
MSFT,Microsoft,2019-06-03,119.84,37983640,123.85,124.37,119.01
MSFT,Microsoft,2019-06-04,123.16,29382640,121.28,123.28,120.6522
MSFT,Microsoft,2019-06-05,125.83,24926140,124.95,125.87,124.21
MSFT,Microsoft,2019-06-06,127.82,21458960,126.44,127.97,125.6
MSFT,Microsoft,2019-06-07,131.4,33885590,129.19,132.25,128.26
MSFT,Microsoft,2019-06-08,131.4,33885590,129.19,132.25,128.26
MSFT,Microsoft,2019-06-09,131.4,33885590,129.19,132.25,128.26
MSFT,Microsoft,2019-06-10,132.6,26477100,132.4,134.08,132.0
MSFT,Microsoft,2019-06-11,132.1,23913730,133.88,134.24,131.2757
MSFT,Microsoft,2019-06-12,131.49,17092460,131.4,131.97,130.71
MSFT,Microsoft,2019-06-13,132.32,17200850,131.98,132.67,131.56
